scenario_label,closeness_condition,closeness,action,n,empirical_stat,ci_lower,mean,ci_upper
oysters,somewhat_close,1,3,23,4.869565217391305,4.199807692307692,4.877777595508813,5.5458181818181815
oysters,close,2,0,20,1.45,1.1816844919786098,1.4530576791098617,1.7857142857142856
oysters,close,2,1,20,1.7,1.2,1.7096110255583101,2.3687343358395987
oysters,close,2,2,20,3.15,2.4642857142857144,3.1477210280582386,3.8500462962962967
oysters,close,2,3,20,4,3.159947368421053,3.995411702780289,4.8335526315789465
oysters,extremely_close,3,0,22,1.1818181818181819,1,1.1866378273341986,1.5
oysters,extremely_close,3,1,22,1.6363636363636362,1.1875,1.6311362218895153,2.1501973684210522
oysters,extremely_close,3,2,22,3.1818181818181817,2.363545454545455,3.1776525264654354,4.045508658008658
oysters,extremely_close,3,3,22,4.318181818181818,3.5292717086834733,4.340339731136584,5.0800833333333335
social,not_close,0,0,25,1.44,1,1.4440702792173101,2
social,not_close,0,1,25,3.7199999999999998,3.148015873015873,3.722700778098763,4.24025
social,not_close,0,2,25,5.04,4.486486486486487,5.026536741320817,5.555797101449275
