subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_full,pred_vanilla,pred_discomfort_only,pred_full_lm,pred_vanilla_lm,pred_discomfort_only_lm
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,1,0.14,1.0,0,3,0.1853369,0.2275344,0.25,0.1615959,0.1929991,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,2,0.09,1.0,0,3,0.1853369,0.13851412,0.25,0.24065708,0.2655044,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,3,0.03,1.0,0,3,0.1853369,0.084322006,0.25,0.28907025,0.1717753,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,0,0.62,1.0,0,4,0.44398928,0.54962945,0.25,0.38427183,0.50054824,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,1,0.18,1.0,0,4,0.1853369,0.2275344,0.25,0.2182453,0.2223352,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,2,0.04,1.0,0,4,0.1853369,0.13851412,0.25,0.25225654,0.20358959,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,3,0.16,1.0,0,4,0.1853369,0.084322006,0.25,0.14522636,0.07352696,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,0,0.85,0.5,0,5,0.57735443,0.54962945,0.3702086,0.4748343,0.45437774,0.36020824
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,1,0.15,0.5,0,5,0.24100827,0.2275344,0.3702086,0.3313454,0.31656533,0.36020824
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,2,0.0,0.5,0,5,0.120944336,0.13851412,0.1759544,0.15258522,0.17161,0.1939358
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,3,0.0,0.5,0,5,0.060693063,0.084322006,0.0836284,0.041235033,0.05744697,0.08564767
