subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full,pred_access_only,pred_no_access
40bd5b02-b879-5f02-8ba6-1776564b4b04,sauna,50,high,3,0.16,0.5,1,12,0.15988138,0.14538303,0.27869168
40bd5b02-b879-5f02-8ba6-1776564b4b04,sleeping-bag,75,low,0,0.07,0.75,0,13,0.3773369,0.2999831,0.34728843
40bd5b02-b879-5f02-8ba6-1776564b4b04,sleeping-bag,75,low,1,0.22,0.75,0,13,0.2359096,0.26442087,0.22713533
40bd5b02-b879-5f02-8ba6-1776564b4b04,sleeping-bag,75,low,2,0.31,0.75,0,13,0.20511155,0.23015188,0.2232727
40bd5b02-b879-5f02-8ba6-1776564b4b04,sleeping-bag,75,low,3,0.4,0.75,0,13,0.18164194,0.20544404,0.20230351
40bd5b02-b879-5f02-8ba6-1776564b4b04,sunscreen,75,high,0,0.08,0.75,1,14,0.22199956,0.2843676,0.20408137
40bd5b02-b879-5f02-8ba6-1776564b4b04,sunscreen,75,high,1,0.42,0.75,1,14,0.30076426,0.27553692,0.2811615
40bd5b02-b879-5f02-8ba6-1776564b4b04,sunscreen,75,high,2,0.34,0.75,1,14,0.26398897,0.24287273,0.26625943
40bd5b02-b879-5f02-8ba6-1776564b4b04,sunscreen,75,high,3,0.16,0.75,1,14,0.2132472,0.19722272,0.24849775
40bd5b02-b879-5f02-8ba6-1776564b4b04,towel,0,low,0,0.85,0.0,0,15,0.5299843,0.44418618,0.34860975
40bd5b02-b879-5f02-8ba6-1776564b4b04,towel,0,low,1,0.08,0.0,0,15,0.25773764,0.3042018,0.22947074
40bd5b02-b879-5f02-8ba6-1776564b4b04,towel,0,low,2,0.07,0.0,0,15,0.13011976,0.15389904,0.2193681
40bd5b02-b879-5f02-8ba6-1776564b4b04,towel,0,low,3,0.0,0.0,0,15,0.08215825,0.09771293,0.20255141
5f70cbd5-2cc1-521e-9464-87016bc694c8,bed,50,low,0,1.0,0.5,0,0,0.4351092,0.35373273,0.3336831
5f70cbd5-2cc1-521e-9464-87016bc694c8,bed,50,low,1,0.0,0.5,0,0,0.2246602,0.2580314,0.2117838
5f70cbd5-2cc1-521e-9464-87016bc694c8,bed,50,low,2,0.0,0.5,0,0,0.18985228,0.21679391,0.22585349
5f70cbd5-2cc1-521e-9464-87016bc694c8,bed,50,low,3,0.0,0.5,0,0,0.15037833,0.17144193,0.22867958
5f70cbd5-2cc1-521e-9464-87016bc694c8,blanket,0,high,0,0.51,0.0,1,1,0.34460786,0.42348635,0.20070885
5f70cbd5-2cc1-521e-9464-87016bc694c8,blanket,0,high,1,0.49,0.0,1,1,0.3740733,0.32903132,0.27216268
5f70cbd5-2cc1-521e-9464-87016bc694c8,blanket,0,high,2,0.0,0.0,1,1,0.17545925,0.15432303,0.26638958
5f70cbd5-2cc1-521e-9464-87016bc694c8,blanket,0,high,3,0.0,0.0,1,1,0.10585963,0.09315933,0.2607389
5f70cbd5-2cc1-521e-9464-87016bc694c8,breakup,50,high,0,0.0,0.5,1,2,0.2580903,0.32702872,0.2000045
5f70cbd5-2cc1-521e-9464-87016bc694c8,breakup,50,high,1,0.0,0.5,1,2,0.31654638,0.2860861,0.2838193
5f70cbd5-2cc1-521e-9464-87016bc694c8,breakup,50,high,2,0.0,0.5,1,2,0.24370223,0.22060052,0.27637312
5f70cbd5-2cc1-521e-9464-87016bc694c8,breakup,50,high,3,1.0,0.5,1,2,0.18166116,0.1662846,0.23980305
5f70cbd5-2cc1-521e-9464-87016bc694c8,chapstick,100,low,0,0.0,1.0,0,3,0.3196714,0.25,0.336108
5f70cbd5-2cc1-521e-9464-87016bc694c8,chapstick,100,low,1,1.0,1.0,0,3,0.22569555,0.25,0.20879786
