subject_id,scenario_label,stimulus_index,action_condition,intimacy,stage,desire_rating,effort_rating
2be6294c-4222-55b6-b5fe-ce0cbebe84af,towel,6,high_risk_share,somewhat_formal,prior,0.85,1.0
64098ec2-265f-55be-92c5-ad28407cbc17,bed,11,low_risk_share,max_formal,posterior,1.0,0.28
64098ec2-265f-55be-92c5-ad28407cbc17,bed,11,low_risk_share,max_formal,prior,0.76,0.5
64098ec2-265f-55be-92c5-ad28407cbc17,blanket,13,no_share,somewhat_formal,posterior,0.57,0.95
64098ec2-265f-55be-92c5-ad28407cbc17,blanket,13,no_share,somewhat_formal,prior,0.8,0.52
64098ec2-265f-55be-92c5-ad28407cbc17,breakup,6,high_risk_share,max_intimate,posterior,0.79,0.75
64098ec2-265f-55be-92c5-ad28407cbc17,breakup,6,high_risk_share,max_intimate,prior,0.96,0.73
64098ec2-265f-55be-92c5-ad28407cbc17,chapstick,4,high_risk_share,somewhat_intimate,posterior,0.98,0.51
64098ec2-265f-55be-92c5-ad28407cbc17,chapstick,4,high_risk_share,somewhat_intimate,prior,0.9,0.51
64098ec2-265f-55be-92c5-ad28407cbc17,earbuds,9,high_risk_share,somewhat_intimate,posterior,1.0,0.64
64098ec2-265f-55be-92c5-ad28407cbc17,earbuds,9,high_risk_share,somewhat_intimate,prior,1.0,0.48
64098ec2-265f-55be-92c5-ad28407cbc17,gossip,0,low_risk_share,max_intimate,posterior,0.74,0.09
64098ec2-265f-55be-92c5-ad28407cbc17,gossip,0,low_risk_share,max_intimate,prior,1.0,0.19
64098ec2-265f-55be-92c5-ad28407cbc17,hairbrush,5,high_risk_share,somewhat_formal,posterior,0.99,0.0
64098ec2-265f-55be-92c5-ad28407cbc17,hairbrush,5,high_risk_share,somewhat_formal,prior,0.72,0.49
64098ec2-265f-55be-92c5-ad28407cbc17,harmonica,1,high_risk_share,max_formal,posterior,1.0,0.85
64098ec2-265f-55be-92c5-ad28407cbc17,harmonica,1,high_risk_share,max_formal,prior,0.0,0.75
64098ec2-265f-55be-92c5-ad28407cbc17,home,10,no_share,max_intimate,posterior,0.24,1.0
64098ec2-265f-55be-92c5-ad28407cbc17,home,10,no_share,max_intimate,prior,0.57,0.51
64098ec2-265f-55be-92c5-ad28407cbc17,locker-room,15,no_share,max_formal,posterior,0.27,0.93
64098ec2-265f-55be-92c5-ad28407cbc17,locker-room,15,no_share,max_formal,prior,0.72,0.51
64098ec2-265f-55be-92c5-ad28407cbc17,navigation,7,low_risk_share,somewhat_formal,posterior,0.75,1.0
64098ec2-265f-55be-92c5-ad28407cbc17,navigation,7,low_risk_share,somewhat_formal,prior,0.66,0.31
64098ec2-265f-55be-92c5-ad28407cbc17,salary,14,no_share,max_formal,posterior,0.56,0.1
64098ec2-265f-55be-92c5-ad28407cbc17,salary,14,no_share,max_formal,prior,0.99,0.66
64098ec2-265f-55be-92c5-ad28407cbc17,sauna,12,no_share,max_intimate,posterior,0.17,0.87
64098ec2-265f-55be-92c5-ad28407cbc17,sauna,12,no_share,max_intimate,prior,0.8,0.5
64098ec2-265f-55be-92c5-ad28407cbc17,sleeping-bag,8,low_risk_share,somewhat_intimate,posterior,1.0,0.0
64098ec2-265f-55be-92c5-ad28407cbc17,sleeping-bag,8,low_risk_share,somewhat_intimate,prior,0.98,0.52
64098ec2-265f-55be-92c5-ad28407cbc17,sunscreen,2,no_share,somewhat_intimate,posterior,0.0,0.91
64098ec2-265f-55be-92c5-ad28407cbc17,sunscreen,2,no_share,somewhat_intimate,prior,0.89,0.49
64098ec2-265f-55be-92c5-ad28407cbc17,towel,3,low_risk_share,somewhat_formal,posterior,0.77,0.21
64098ec2-265f-55be-92c5-ad28407cbc17,towel,3,low_risk_share,somewhat_formal,prior,0.74,0.27
6a22516b-8eed-549e-ba1e-0d292a0eb612,bed,0,high_risk_share,max_intimate,posterior,1.0,1.0
6a22516b-8eed-549e-ba1e-0d292a0eb612,bed,0,high_risk_share,max_intimate,prior,1.0,0.0
6a22516b-8eed-549e-ba1e-0d292a0eb612,blanket,11,high_risk_share,max_formal,posterior,1.0,0.59
6a22516b-8eed-549e-ba1e-0d292a0eb612,blanket,11,high_risk_share,max_formal,prior,1.0,0.63
